LOKAALID	NAAM	BRONACTUAL	BRONBESCHR	BRONNAUWKE	BRONTYPE	BRONTYPE_C	EINDREGIST	FYSIEKVOOR	FYSIEKVO_1	HOOGTENIVE	MUTATIETYP	MUTATIET_1	OBJECTBEGI	OBJECTEIND	TDNCODE	TIJDSTIPRE	TYPELANDGE	TYPELAND_1	VISUALISAT	VOORKOMEN_	VOORKOMEN1	GEOMETRIE_	GEOMETRIE1
127811115	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	1042.541246	13050.626486
106095910	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/12	overig	historic 1992	14160.0	NULL	NULL	223.092992	1990.693823
106095028	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/30/15	boomkwekerij	historic 1992	14050.0	NULL	NULL	544.586338	8605.772575
106095030	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	662.411587	7890.879415
127811968	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	403.810726	3829.249134
106096400	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	764.570282	9859.093315
124736240	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/12	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	475.317832	6342.523653
106092030	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	309.456772	3952.529577
127811966	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	502.0	08/31/14	bos: loofbos	historic 1992	14080.0	NULL	NULL	225.628491	1041.504634
106098265	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	322.202675	2848.045956
